tconst;title;primaryTitle;startYear;genres;production_countries;popularity;poster_path;actors;directors;averageRating;numVotes;combined_features;index
tt3004644;Amy and Sophia;Amy and Sophia;2017;Drama,Fantasy;Ecuador, United Kingdom;0.785;/rKuVlAK6mXJAIt76oSDKqvfTTbW.jpg;Julian Glover, Isla Blair, Joseph Millson, Denise Van Outen, Ali Rodney, Emma Raine Walker, Conor Boru, Lee Bane, Josephine Gillan, Travis Booth-Millard;Adam Lipsius;8.4;19;Amy and Sophia Drama,Fantasy Julian Glover, Isla Blair, Joseph Millson, Denise Van Outen, Ali Rodney, Emma Raine Walker, Conor Boru, Lee Bane, Josephine Gillan, Travis Booth-Millard Adam Lipsius;43
tt19844594;Goya;Goya;2022;Drama;Mexico;0.6;/1GaLXE607KKjKAOjsvEI3WZsGau.jpg;Eutimio Fuentes, Mateo Valles, Ruth Ramos, Esteban de la Isla, Alberto Lopez El Real;Pablo Orta;8.4;15;Goya Drama Eutimio Fuentes, Mateo Valles, Ruth Ramos, Esteban de la Isla, Alberto Lopez El Real Pablo Orta;44
tt2489784;Death of a Gangster;Death of a Gangster;2012;Drama;Mexico;0.653;/rUOGGe7wtq0bQnGyHmulJ3Df7pM.jpg;Jaime Arcos, Efren Arellano, Aurelio Bocanegra, Ivan Cervantes, John Christopher, Delarosa, Max Durazo, Fred Fate, Ricky Gonzalez, Jorge Olvera;Kate Whitney;8.4;11;Death of a Gangster Drama Jaime Arcos, Efren Arellano, Aurelio Bocanegra, Ivan Cervantes, John Christopher, Delarosa, Max Durazo, Fred Fate, Ricky Gonzalez, Jorge Olvera Kate Whitney;45
tt7417858;Clownvets;Clownvets;2019;Documentary;Chile, United States of America;1.1;/1Xw0Y6eAZVYzYWalqkqXUOC5crp.jpg;;Esteban Rojas;8.4;10;Clownvets Documentary  Esteban Rojas;46
tt3872806;Going the Distance: A Honeymoon Adventure;Going the Distance: A Honeymoon Adventure;2014;Adventure,Documentary,Family;Argentina, Bolivia, Canada, Colombia, Costa Rica, Ecuador, Guatemala, Mexico, Nicaragua, Panama, Peru, United Kingdom, United States of America;0.6;/3AXWHbiYkLYOMeRAzopo2YDqm2j.jpg;;Mike Clear;8.4;7;Going the Distance: A Honeymoon Adventure Adventure,Documentary,Family  Mike Clear;47
tt7587734;Rocio;Rocio;2018;Documentary,Drama;Mexico, United States of America;0.6;/712vkV8dBLHS8dcSKd60sRUhfFC.jpg;;Dario Guerrero;8.4;7;Rocio Documentary,Drama  Dario Guerrero;48
tt0275011;U2: PopMart Live from Mexico City;U2: PopMart Live from Mexico City;1997;Documentary,Music;Mexico;1.159;/e2ojB1GGYzwKnUP6idmAYOPFgva.jpg;The Edge;David Mallet;8.3;772;U2: PopMart Live from Mexico City Documentary,Music The Edge David Mallet;49
tt10214220;Maxima;Maxima;2019;Documentary;Peru, United States of America, Uruguay;0.6;/rA6wqjYgybWq3TVDJywS8UcvxI5.jpg;;Claudia Sparrow;8.3;55;Maxima Documentary  Claudia Sparrow;50
tt1773442;Reportero;Reportero;2012;Documentary;Mexico, United States of America;0.743;/y4lqP20YvpYGqqBueLYvF63tkKU.jpg;;Bernardo Ruiz;8.3;53;Reportero Documentary  Bernardo Ruiz;51
tt15738214;La Princesa;La Princesa;2022;Action;Mexico;29.011;/ksxiXqwPuEjh3gct1zUpyzNoQFt.jpg;Alfredo Rios El Komander, Palmeira Cruz, Héctor Soberón, Fernando Ciangherotti, Lourdes Munguía, Ortiz Alonso Jr., Erasmo Avitia, René Bastidas, Caren J. Duarte, Jesús Escobar;Alonso O. Lara;8.3;33;La Princesa Action Alfredo Rios El Komander, Palmeira Cruz, Héctor Soberón, Fernando Ciangherotti, Lourdes Munguía, Ortiz Alonso Jr., Erasmo Avitia, René Bastidas, Caren J. Duarte, Jesús Escobar Alonso O. Lara;52
tt0489959;The Eyes of the Rainbow;The Eyes of the Rainbow;1997;Documentary;Cuba;0.649;/g0zYY5wcptDNPzY8g3GEfjwarp6.jpg;;Gloria Rolando;8.3;30;The Eyes of the Rainbow Documentary  Gloria Rolando;53
tt10853952;The Champion of the World;The Champion of the World;2019;Documentary,Sport;Uruguay;0.662;/l9abdv1y1zibuVfiFsj3mQhdEcG.jpg;Antonio Osta, Juanjo Osta;Federico Borgia, Guillermo Madeiro;8.3;26;The Champion of the World Documentary,Sport Antonio Osta, Juanjo Osta Federico Borgia, Guillermo Madeiro;54
tt3614472;With Fidel Whatever Happens;With Fidel Whatever Happens;2012;Documentary;Cuba, Serbia;0.6;/41Qav9BcRuk7Immo8rlt3EXmYND.jpg;;Goran Radovanovic;8.3;15;With Fidel Whatever Happens Documentary  Goran Radovanovic;55
tt0457430;El laberinto del fauno;Pan's Labyrinth;2006;Drama,Fantasy,War;Mexico, Spain, United States of America;35.672;/2VVhikIxoztAXEDQZLOdtBsu6vf.jpg;Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú, Doug Jones, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Ivan Massagué;Guillermo del Toro;8.2;712118;Pan's Labyrinth Drama,Fantasy,War Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú, Doug Jones, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Ivan Massagué Guillermo del Toro;56
tt1305806;The Secret in Their Eyes;The Secret in Their Eyes;2009;Drama,Mystery,Romance;Argentina, Spain;17.242;/dkeAwfZzwL3WvToydE3CXiY80E0.jpg;Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo, Javier Godino, Bárbara Palladino, Rudy Romano, Alejandro Abelenda, Mario Alarcón, Guillermo Francella;Juan José Campanella;8.2;226312;The Secret in Their Eyes Drama,Mystery,Romance Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo, Javier Godino, Bárbara Palladino, Rudy Romano, Alejandro Abelenda, Mario Alarcón, Guillermo Francella Juan José Campanella;57
tt0042804;The Young and the Damned;The Young and the Damned;1950;Crime,Drama;Mexico;12.825;/3bdfN2gosYSxpHBAXPkAhxkUJFr.jpg;Alfonso Mejía, Roberto Cobo, Estela Inda, Miguel Inclán, Alma Delia Fuentes, Francisco Jambrina, Jesús García, Efraín Arauz, Sergio Virel, Jorge Pérez;Luis Buñuel;8.2;22397;The Young and the Damned Crime,Drama Alfonso Mejía, Roberto Cobo, Estela Inda, Miguel Inclán, Alma Delia Fuentes, Francisco Jambrina, Jesús García, Efraín Arauz, Sergio Virel, Jorge Pérez Luis Buñuel;58
tt0058604;I Am Cuba;I Am Cuba;1964;Drama;Cuba, Soviet Union;7.271;/qQxv27Lae6Uph7iOEzyZ5BOZxJh.jpg;Sergio Corrieri, Salvador Wood, José Gallardo, Raúl García, Luz María Collazo, Jean Bouise, Alberto Morgan, Zilia Rodriguez, Fausto Mirabal, Roberto García York;Mikhail Kalatozov;8.2;11048;I Am Cuba Drama Sergio Corrieri, Salvador Wood, José Gallardo, Raúl García, Luz María Collazo, Jean Bouise, Alberto Morgan, Zilia Rodriguez, Fausto Mirabal, Roberto García York Mikhail Kalatozov;59
tt7320560;Cuba and the Cameraman;Cuba and the Cameraman;2017;Documentary;Cuba, United States of America;7.111;/qaHgQmUAAsB7FzMFQZUp6MfG1r2.jpg;;Jon Alpert;8.2;5618;Cuba and the Cameraman Documentary  Jon Alpert;60
tt5027202;Colombia: Wild Magic;Colombia: Wild Magic;2015;Documentary;Colombia;3.897;/2kjKdxpmvtFMmIFsNzjDMlNCWTc.jpg;Julio Sanchéz Cristo;Mike Slee;8.2;1376;Colombia: Wild Magic Documentary Julio Sanchéz Cristo Mike Slee;61
tt0074187;The Battle of Chile: Part II;The Battle of Chile: Part II;1976;Documentary,History;Chile, France, Cuba, Venezuela;2.78;/sAIQFPmU5028WHwgTIXYu45WSmk.jpg;;Patricio Guzmán;8.2;1311;The Battle of Chile: Part II Documentary,History  Patricio Guzmán;62
